"id,""vin"",""start_timestamp"",""start_battery_level"",""start_battery_range"",""end_timestamp"",""end_battery_level"",""end_battery_range"",""latitude"",""longitude"",""charge_amps"",""charge_status"",""updated_at"",""charge_address"""
"1,""LRW3F7FA9MC335389"",""2022-06-20 14:20:03"",23,59.28,""2022-06-20 14:32:21"",26,66.43,51.37112,-0.039784,32,True,NULL,NULL"
"2,""LRW3F7FS6NC505606"",""2022-06-20 14:20:20"",75,204.13,""2022-06-20 14:32:37"",76,205.55,51.133972,0.228318,10,True,NULL,NULL"
"3,""LRW3F7FS9NC502795"",""2022-06-20 14:20:22"",99,268.87,""2022-06-20 14:32:40"",100,270.76,51.623329,-0.388724,10,True,NULL,NULL"
"4,""LRW3F7FSXNC502868"",""2022-06-20 14:20:26"",73,196.18,""2022-06-20 14:32:44"",77,206.51,51.523919,0.054233,16,True,NULL,NULL"
"5,""LRW3F7FS9NC502943"",""2022-06-20 14:20:27"",70,189.01,""2022-06-20 14:20:27"",70,189.01,51.602828,-0.26543,16,True,NULL,NULL"
"10,""LRW3F7FA9MC335389"",""2022-06-20 14:35:04"",27,67.97,""2022-06-20 19:56:56"",100,257.56,51.37112,-0.039784,32,True,NULL,NULL"
"11,""LRW3F7FS6NC505606"",""2022-06-20 14:35:14"",76,206.49,""2022-06-20 21:17:37"",100,270.76,51.133972,0.228318,10,True,NULL,NULL"
"12,""LRW3F7FS9NC502795"",""2022-06-20 14:35:17"",100,270.76,""2022-06-20 14:35:17"",100,270.76,51.623329,-0.388724,10,True,NULL,NULL"
"13,""LRW3F7FSXNC502868"",""2022-06-20 14:35:20"",78,208.97,""2022-06-20 14:35:20"",78,208.97,51.523919,0.054233,16,True,NULL,NULL"
"14,""LRW3F7FSXNC502868"",""2022-06-20 14:35:48"",78,209.46,""2022-06-20 15:01:05"",86,231.09,51.523919,0.054233,16,True,NULL,NULL"
"15,""LRW3F7FA1MC335306"",""2022-06-20 14:38:34"",96,245.85,""2022-06-20 15:42:31"",100,256.59,51.749857,0.502245,10,True,NULL,NULL"
"16,""LRW3F7FS9NC502943"",""2022-06-20 14:45:39"",70,189.01,""2022-06-20 15:21:41"",74,199.88,51.602828,-0.26543,16,True,NULL,NULL"
"17,""LRW3F7FSXNC505477"",""2022-06-20 14:47:34"",44,119.86,""2022-06-20 15:03:42"",80,217.03,51.438008,0.268986,16,True,NULL,NULL"
"18,""LRW3F7FA8MC335352"",""2022-06-20 14:47:38"",81,203.15,""2022-06-20 15:03:47"",99,251.64,51.506598,-0.221805,16,True,NULL,NULL"
"19,""LRW3F7FS4NC505233"",""2022-06-20 14:54:59"",75,202.26,""2022-06-20 17:03:21"",100,268.89,51.902807,-0.443256,32,True,NULL,NULL"
"20,""LRW3F7FS2NC506817"",""2022-06-20 15:24:54"",83,223.03,""2022-06-20 16:59:37"",100,270.76,51.579874,-0.199352,32,True,NULL,NULL"
"21,""LRW3F7FS4NC505345"",""2022-06-20 15:28:59"",17,44.53,""2022-06-20 16:19:04"",100,268.05,51.506681,-0.22205,16,True,NULL,NULL"
"22,""LRW3F7FS2NC505408"",""2022-06-20 15:48:36"",34,89.79,""2022-06-20 16:28:41"",100,269.36,51.478071,-0.515647,16,True,NULL,NULL"
"23,""LRW3F7FA7MC335407"",""2022-06-20 15:50:19"",69,176.85,""2022-06-20 16:09:51"",98,249.94,51.506499,-0.222181,16,True,NULL,NULL"
"24,""LRW3F7FS9NC502795"",""2022-06-20 15:59:12"",95,258.47,""2022-06-20 17:05:39"",99,268.4,51.62332,-0.388739,10,True,NULL,NULL"
"25,""LRW3F7FS4NC505734"",""2022-06-20 16:19:17"",39,104.56,""2022-06-20 17:10:28"",96,258.31,51.465962,-0.01199,16,True,NULL,NULL"
"26,""LRW3F7FS9NC506815"",""2022-06-20 16:33:37"",49,133.28,""2022-06-20 17:10:43"",94,253.31,51.426823,-0.026194,16,True,NULL,NULL"
"27,""LRW3F7FS9NC502876"",""2022-06-20 16:35:20"",38,101.25,""2022-06-21 02:47:43"",77,204.96,51.435372,-0.012356,10,True,NULL,NULL"
"29,""LRW3F7FS9NC502876"",""2022-06-20 16:35:20"",38,101.25,""2022-06-21 02:47:43"",77,204.96,51.435372,-0.012356,10,True,NULL,NULL"
"28,""LRW3F7FS9NC502876"",""2022-06-20 16:35:22"",38,101.25,""2022-06-21 02:47:43"",77,204.96,51.435372,-0.012356,10,True,NULL,NULL"
"30,""LRW3F7FS9NC502876"",""2022-06-20 16:35:22"",38,101.25,""2022-06-21 02:47:43"",77,204.96,51.435372,-0.012356,10,True,NULL,NULL"
"31,""LRW3F7FA5MC335387"",""2022-06-20 16:47:22"",100,255.56,""2022-06-20 16:50:29"",100,256.59,51.568614,-0.382645,32,True,NULL,NULL"
"32,""LRW3F7FS8NC505476"",""2022-06-20 16:55:13"",59,160.06,""2022-06-20 17:28:14"",100,270.76,51.478159,-0.515592,16,True,NULL,NULL"
"33,""LRW3F7FS6NC505475"",""2022-06-20 17:14:49"",30,80.17,""2022-06-20 17:35:00"",78,211.35,51.526751,-0.283439,16,True,NULL,NULL"
"34,""LRW3F7FS8NC505350"",""2022-06-20 17:17:48"",45,120.84,""2022-06-20 21:43:23"",100,270.76,51.718459,-0.024256,32,True,NULL,NULL"
"35,""LRW3F7FS8NC502951"",""2022-06-20 17:41:48"",17,44.33,""2022-06-20 18:35:05"",20,54.73,51.526212,-0.452225,10,True,NULL,NULL"
"36,""LRW3F7FS6NC506187"",""2022-06-20 17:57:24"",74,200.35,""2022-06-20 20:57:25"",100,270.76,51.551342,-0.245959,24,True,NULL,NULL"
"37,""LRW3F7FS9NC502716"",""2022-06-20 18:01:27"",29,78.95,""2022-06-20 20:55:29"",84,225.98,51.581052,-0.338245,16,True,NULL,NULL"
"38,""LRW3F7FS9NC502795"",""2022-06-20 18:04:33"",97,261.31,""2022-06-20 18:20:39"",97,263.67,51.623327,-0.388753,10,True,NULL,NULL"
"39,""LRW3F7FS4NC506818"",""2022-06-20 18:10:13"",26,70.78,""2022-06-20 19:02:23"",99,269.33,51.687497,-0.223433,16,True,NULL,NULL"
"40,""LRW3F7FAXMC335384"",""2022-06-20 18:35:01"",14,34.77,""2022-06-20 19:11:00"",21,52.66,51.375249,-0.20552,30,True,NULL,NULL"
"41,""LRW3F7FA1MC335306"",""2022-06-20 18:35:23"",99,254.54,""2022-06-20 18:47:15"",100,256.59,51.749857,0.502245,10,True,NULL,NULL"
"42,""LRW3F7FA5MC335387"",""2022-06-20 18:56:08"",95,243.81,""2022-06-20 19:16:10"",100,255.56,51.568617,-0.38263,32,True,NULL,NULL"
"43,""LRW3F7FS8NC502951"",""2022-06-20 18:58:53"",19,51.99,""2022-06-21 03:22:15"",54,148.32,51.526222,-0.452192,10,True,NULL,NULL"
"44,""LRW3F7FS8NC505347"",""2022-06-20 19:26:53"",23,61.81,""2022-06-20 19:26:53"",23,61.81,51.443024,0.247541,10,True,NULL,NULL"
"45,""LRW3F7FS8NC505347"",""2022-06-20 19:45:35"",29,78,""2022-06-20 20:07:40"",81,218.8,51.453515,0.246924,16,True,NULL,NULL"
"46,""LRW3F7FS6NC505671"",""2022-06-20 19:48:42"",36,94.33,""2022-06-20 20:36:30"",100,268.95,51.478085,-0.515894,16,True,NULL,NULL"
"47,""LRW3F7FA8MC335397"",""2022-06-20 19:54:30"",38,97.11,""2022-06-21 00:36:35"",100,256.59,51.888867,-0.497436,32,True,NULL,NULL"
"48,""LRW3F7FSXNC502871"",""2022-06-20 19:54:32"",71,190.23,""2022-06-20 20:05:00"",89,240.73,51.871754,0.193433,16,True,NULL,NULL"
"49,""LRW3F7FS7NC505551"",""2022-06-20 20:07:46"",15,39.97,""2022-06-20 20:57:20"",98,264.6,51.578026,0.185205,16,True,NULL,NULL"
"50,""LRW3F7FA0MC335359"",""2022-06-20 20:10:32"",10,25.47,""2022-06-21 01:52:15"",95,230.35,51.363408,-0.130414,30,True,NULL,NULL"
"51,""LRW3F7FA9MC335392"",""2022-06-20 20:13:55"",39,100.69,""2022-06-20 20:31:57"",79,201.89,51.489456,0.286428,16,True,NULL,NULL"
"52,""LRW3F7FA3MC335369"",""2022-06-20 20:20:42"",41,105.29,""2022-06-21 01:04:40"",100,256.59,51.671107,0.716306,31,True,NULL,NULL"
"53,""LRW3F7FA1MC335354"",""2022-06-20 20:22:40"",73,187.11,""2022-06-20 21:43:45"",100,254.15,51.579373,-0.014858,16,True,NULL,NULL"
"54,""LRW3F7FS7NC502939"",""2022-06-20 20:34:50"",39,105.65,""2022-06-20 21:28:00"",100,269.18,51.406173,-0.166737,16,True,NULL,NULL"
"55,""LRW3F7FA3MC335310"",""2022-06-20 20:47:34"",61,139.65,""2022-06-20 22:24:57"",90,206.79,51.359757,0.535109,32,True,NULL,NULL"
"56,""LRW3F7FA2MC335315"",""2022-06-20 20:51:00"",31,79.74,""2022-06-20 21:15:06"",94,240.25,51.51096,-0.46048,16,True,NULL,NULL"
"57,""LRW3F7FS4NC504681"",""2022-06-20 21:02:36"",53,141.45,""2022-06-20 21:41:09"",100,268.9,51.526751,-0.283692,16,True,NULL,NULL"
"58,""LRW3F7FA6MC335379"",""2022-06-20 21:09:01"",21,54.18,""2022-06-20 21:49:24"",100,254.54,51.687608,-0.22354,16,True,NULL,NULL"
"59,""LRW3F7FA1MC335306"",""2022-06-20 21:41:13"",99,255.05,""2022-06-20 21:54:42"",100,256.59,51.749857,0.502245,10,True,NULL,NULL"
"60,""LRW3F7FSXNC502871"",""2022-06-20 21:47:25"",75,201.97,""2022-06-20 22:11:17"",100,270.31,51.871748,0.193499,16,True,NULL,NULL"
"61,""LRW3F7FA5MC335387"",""2022-06-20 22:04:59"",100,254.54,""2022-06-20 22:05:53"",100,255.56,51.568617,-0.38263,32,True,NULL,NULL"
"62,""LRW3F7FS4NC506818"",""2022-06-20 22:15:33"",79,213.78,""2022-06-21 04:05:44"",100,269.4,51.689786,-0.185882,10,True,NULL,NULL"
"63,""LRW3F7FS9NC502800"",""2022-06-20 22:27:40"",14,38.2,""2022-06-20 23:52:55"",93,248.3,51.877001,-0.410672,16,True,NULL,NULL"
"64,""LRW3F7FS1NC505738"",""2022-06-20 22:27:43"",59,159.41,""2022-06-20 23:17:14"",92,245.59,51.374372,-0.050708,16,True,NULL,NULL"
"65,""LRW3F7FA2MC335363"",""2022-06-20 22:43:55"",10,24.54,""2022-06-20 23:37:57"",98,248.57,51.526658,-0.283127,16,True,NULL,NULL"
"66,""LRW3F7FS0NC505732"",""2022-06-20 22:49:12"",9,25.04,""2022-06-20 23:02:33"",13,35.44,51.115015,0.627536,16,True,NULL,NULL"
"67,""LRW3F7FA7MC335407"",""2022-06-20 23:16:57"",63,162.54,""2022-06-20 23:32:26"",83,212.12,51.422434,-0.106546,16,True,NULL,NULL"
"68,""LRW3F7FAXMC335420"",""2022-06-20 23:22:32"",42,107.34,""2022-06-21 04:58:24"",100,256.59,51.567134,-0.203039,24,True,NULL,NULL"
"69,""LRW3F7FS6NC505671"",""2022-06-20 23:27:20"",78,208,""2022-06-20 23:46:55"",100,268.95,51.478086,-0.515973,16,True,NULL,NULL"
"70,""LRW3F7FSXNC502949"",""2022-06-20 23:30:11"",32,85.15,""2022-06-21 00:28:50"",100,270.76,51.577382,-0.224098,16,True,NULL,NULL"
"71,""LRW3F7FS0NC505732"",""2022-06-20 23:38:03"",13,34.97,""2022-06-20 23:59:54"",73,197.04,51.286273,0.545717,16,True,NULL,NULL"
"72,""LRW3F7FS5NC505810"",""2022-06-20 23:38:06"",9,23.43,""2022-06-20 23:52:46"",10,26.03,51.57355,-0.364409,10,True,NULL,NULL"
"73,""LRW3F7FS8NC506577"",""2022-06-20 23:46:40"",76,204.6,""2022-06-20 23:59:54"",85,228.99,51.422451,-0.10654,16,True,NULL,NULL"
"74,""LRW3F7FS5NC505810"",""2022-06-20 23:57:44"",10,26.03,""2022-06-21 09:27:19"",48,130.69,51.573603,-0.364385,10,True,NULL,NULL"
"75,""LRW3F7FS9NC502800"",""2022-06-20 23:57:53"",96,258.63,""2022-06-21 00:04:12"",100,268.44,51.877001,-0.410672,16,True,NULL,NULL"
"76,""LRW3F7FJ0MC298023"",""2022-06-20 23:57:59"",26,66.44,""2022-06-21 00:31:07"",99,247.84,51.478177,-0.515898,16,True,NULL,NULL"
"77,""LRW3F7FS9NC502795"",""2022-06-21 00:03:59"",81,217.36,""2022-06-21 04:21:37"",96,259.89,51.623337,-0.388745,10,True,NULL,NULL"
"78,""LRW3F7FA6MC335415"",""2022-06-21 00:18:34"",16,40.46,""2022-06-21 00:52:57"",93,236.63,51.526796,-0.283445,16,True,NULL,NULL"
"79,""LRW3F7FA1MC335306"",""2022-06-21 00:47:16"",99,254.03,""2022-06-21 00:59:13"",100,256.07,51.749857,0.502245,10,True,NULL,NULL"
"80,""LRW3F7FA5MC335387"",""2022-06-21 00:59:08"",99,254.03,""2022-06-21 01:05:27"",100,256.59,51.568617,-0.38263,32,True,NULL,NULL"
"81,""LRW3F7FS3NC505739"",""2022-06-21 01:05:40"",20,54.23,""2022-06-21 02:20:50"",100,269.4,51.496102,0.118047,16,True,NULL,NULL"
"82,""LRW3F7FA6MC335317"",""2022-06-21 01:10:30"",66,168.16,""2022-06-21 09:15:33"",100,256.59,51.502884,0.110989,10,True,NULL,NULL"
"83,""LRW3F7FS7NC503167"",""2022-06-21 01:46:02"",29,78.08,""2022-06-21 02:08:44"",81,219.55,51.135193,-0.191262,16,True,NULL,NULL"
"84,""LRW3F7FSXNC502871"",""2022-06-21 01:46:11"",50,135.92,""2022-06-21 02:36:58"",100,270.31,51.507049,-0.136049,16,True,NULL,NULL"
"85,""LRW3F7FS2NC506817"",""2022-06-21 01:56:44"",85,230.12,""2022-06-21 03:18:04"",100,271.21,51.579875,-0.199391,32,True,NULL,NULL"
"86,""LRW3F7FS9NC502943"",""2022-06-21 02:33:03"",21,56.7,""2022-06-21 03:22:23"",99,267.92,51.502259,-0.001797,16,True,NULL,NULL"
"87,""LRW3F7FJ3MC387486"",""2022-06-21 03:10:40"",34,90.79,""2022-06-21 03:34:40"",77,205.31,51.502368,-0.00178,16,True,NULL,NULL"
"88,""LRW3F7FJ7MC387488"",""2022-06-21 03:13:06"",11,28.57,""2022-06-21 03:53:59"",86,226.09,51.577363,-0.224131,16,True,NULL,NULL"
"89,""LRW3F7FS1NC505805"",""2022-06-21 03:31:02"",42,111.56,""2022-06-21 04:00:55"",88,235.63,51.478082,-0.516027,16,True,NULL,NULL"
"90,""LRW3F7FS8NC502951"",""2022-06-21 03:34:41"",57,154.89,""2022-06-21 04:00:48"",99,268.73,51.51094,-0.460408,16,True,NULL,NULL"
"91,""LRW3F7FA1MC335306"",""2022-06-21 03:53:53"",99,254.03,""2022-06-21 04:05:45"",100,256.07,51.749857,0.502245,10,True,NULL,NULL"
"92,""LRW3F7FS4NC505233"",""2022-06-21 04:08:06"",12,31.66,""2022-06-21 11:37:15"",69,185.72,51.902805,-0.443254,32,True,NULL,NULL"
"93,""LRW3F7FS9NC506815"",""2022-06-21 04:15:20"",77,206.07,""2022-06-21 07:31:21"",98,263.26,51.43053,-0.03429,16,True,NULL,NULL"
"94,""LRW3F7FS6NC505671"",""2022-06-21 04:24:02"",46,123.57,""2022-06-21 04:58:27"",100,268.95,51.478066,-0.516025,16,True,NULL,NULL"
