id;vin;start_timestamp;start_battery_level;start_battery_range;end_timestamp;end_battery_level;end_battery_range;latitude;longitude;charge_amps;charge_status;updated_at;charge_address
1;LRW3F7FA9MC335389;20/06/2022 14:20;23;59.28;20/06/2022 14:32;26;66.43;51.37112;-0.039784;32;True;NULL;NULL
2;LRW3F7FS6NC505606;20/06/2022 14:20;75;204.13;20/06/2022 14:32;76;205.55;51.133972;0.228318;10;True;NULL;NULL
3;LRW3F7FS9NC502795;20/06/2022 14:20;99;268.87;20/06/2022 14:32;100;270.76;51.623329;-0.388724;10;True;NULL;NULL
4;LRW3F7FSXNC502868;20/06/2022 14:20;73;196.18;20/06/2022 14:32;77;206.51;51.523919;0.054233;16;True;NULL;NULL
5;LRW3F7FS9NC502943;20/06/2022 14:20;70;189.01;20/06/2022 14:20;70;189.01;51.602828;-0.26543;16;True;NULL;NULL
10;LRW3F7FA9MC335389;20/06/2022 14:35;27;67.97;20/06/2022 19:56;100;257.56;51.37112;-0.039784;32;True;NULL;NULL
11;LRW3F7FS6NC505606;20/06/2022 14:35;76;206.49;20/06/2022 21:17;100;270.76;51.133972;0.228318;10;True;NULL;NULL
12;LRW3F7FS9NC502795;20/06/2022 14:35;100;270.76;20/06/2022 14:35;100;270.76;51.623329;-0.388724;10;True;NULL;NULL
13;LRW3F7FSXNC502868;20/06/2022 14:35;78;208.97;20/06/2022 14:35;78;208.97;51.523919;0.054233;16;True;NULL;NULL
14;LRW3F7FSXNC502868;20/06/2022 14:35;78;209.46;20/06/2022 15:01;86;231.09;51.523919;0.054233;16;True;NULL;NULL
15;LRW3F7FA1MC335306;20/06/2022 14:38;96;245.85;20/06/2022 15:42;100;256.59;51.749857;0.502245;10;True;NULL;NULL
16;LRW3F7FS9NC502943;20/06/2022 14:45;70;189.01;20/06/2022 15:21;74;199.88;51.602828;-0.26543;16;True;NULL;NULL
17;LRW3F7FSXNC505477;20/06/2022 14:47;44;119.86;20/06/2022 15:03;80;217.03;51.438008;0.268986;16;True;NULL;NULL
18;LRW3F7FA8MC335352;20/06/2022 14:47;81;203.15;20/06/2022 15:03;99;251.64;51.506598;-0.221805;16;True;NULL;NULL
19;LRW3F7FS4NC505233;20/06/2022 14:54;75;202.26;20/06/2022 17:03;100;268.89;51.902807;-0.443256;32;True;NULL;NULL
20;LRW3F7FS2NC506817;20/06/2022 15:24;83;223.03;20/06/2022 16:59;100;270.76;51.579874;-0.199352;32;True;NULL;NULL
21;LRW3F7FS4NC505345;20/06/2022 15:28;17;44.53;20/06/2022 16:19;100;268.05;51.506681;-0.22205;16;True;NULL;NULL
22;LRW3F7FS2NC505408;20/06/2022 15:48;34;89.79;20/06/2022 16:28;100;269.36;51.478071;-0.515647;16;True;NULL;NULL
23;LRW3F7FA7MC335407;20/06/2022 15:50;69;176.85;20/06/2022 16:09;98;249.94;51.506499;-0.222181;16;True;NULL;NULL
24;LRW3F7FS9NC502795;20/06/2022 15:59;95;258.47;20/06/2022 17:05;99;268.4;51.62332;-0.388739;10;True;NULL;NULL
25;LRW3F7FS4NC505734;20/06/2022 16:19;39;104.56;20/06/2022 17:10;96;258.31;51.465962;-0.01199;16;True;NULL;NULL
26;LRW3F7FS9NC506815;20/06/2022 16:33;49;133.28;20/06/2022 17:10;94;253.31;51.426823;-0.026194;16;True;NULL;NULL
27;LRW3F7FS9NC502876;20/06/2022 16:35;38;101.25;21/06/2022 02:47;77;204.96;51.435372;-0.012356;10;True;NULL;NULL
29;LRW3F7FS9NC502876;20/06/2022 16:35;38;101.25;21/06/2022 02:47;77;204.96;51.435372;-0.012356;10;True;NULL;NULL
28;LRW3F7FS9NC502876;20/06/2022 16:35;38;101.25;21/06/2022 02:47;77;204.96;51.435372;-0.012356;10;True;NULL;NULL
30;LRW3F7FS9NC502876;20/06/2022 16:35;38;101.25;21/06/2022 02:47;77;204.96;51.435372;-0.012356;10;True;NULL;NULL
31;LRW3F7FA5MC335387;20/06/2022 16:47;100;255.56;20/06/2022 16:50;100;256.59;51.568614;-0.382645;32;True;NULL;NULL
32;LRW3F7FS8NC505476;20/06/2022 16:55;59;160.06;20/06/2022 17:28;100;270.76;51.478159;-0.515592;16;True;NULL;NULL
33;LRW3F7FS6NC505475;20/06/2022 17:14;30;80.17;20/06/2022 17:35;78;211.35;51.526751;-0.283439;16;True;NULL;NULL
34;LRW3F7FS8NC505350;20/06/2022 17:17;45;120.84;20/06/2022 21:43;100;270.76;51.718459;-0.024256;32;True;NULL;NULL
35;LRW3F7FS8NC502951;20/06/2022 17:41;17;44.33;20/06/2022 18:35;20;54.73;51.526212;-0.452225;10;True;NULL;NULL
36;LRW3F7FS6NC506187;20/06/2022 17:57;74;200.35;20/06/2022 20:57;100;270.76;51.551342;-0.245959;24;True;NULL;NULL
37;LRW3F7FS9NC502716;20/06/2022 18:01;29;78.95;20/06/2022 20:55;84;225.98;51.581052;-0.338245;16;True;NULL;NULL
38;LRW3F7FS9NC502795;20/06/2022 18:04;97;261.31;20/06/2022 18:20;97;263.67;51.623327;-0.388753;10;True;NULL;NULL
39;LRW3F7FS4NC506818;20/06/2022 18:10;26;70.78;20/06/2022 19:02;99;269.33;51.687497;-0.223433;16;True;NULL;NULL
40;LRW3F7FAXMC335384;20/06/2022 18:35;14;34.77;20/06/2022 19:11;21;52.66;51.375249;-0.20552;30;True;NULL;NULL
41;LRW3F7FA1MC335306;20/06/2022 18:35;99;254.54;20/06/2022 18:47;100;256.59;51.749857;0.502245;10;True;NULL;NULL
42;LRW3F7FA5MC335387;20/06/2022 18:56;95;243.81;20/06/2022 19:16;100;255.56;51.568617;-0.38263;32;True;NULL;NULL
43;LRW3F7FS8NC502951;20/06/2022 18:58;19;51.99;21/06/2022 03:22;54;148.32;51.526222;-0.452192;10;True;NULL;NULL
44;LRW3F7FS8NC505347;20/06/2022 19:26;23;61.81;20/06/2022 19:26;23;61.81;51.443024;0.247541;10;True;NULL;NULL
45;LRW3F7FS8NC505347;20/06/2022 19:45;29;78;20/06/2022 20:07;81;218.8;51.453515;0.246924;16;True;NULL;NULL
